"Step","CRISPR + DGL_GCN - training loss","CRISPR + DGL_GCN - training loss__MIN","CRISPR + DGL_GCN - training loss__MAX","CRISPR + Transformer - training loss","CRISPR + Transformer - training loss__MIN","CRISPR + Transformer - training loss__MAX","CRISPR + CNN_RNN - training loss","CRISPR + CNN_RNN - training loss__MIN","CRISPR + CNN_RNN - training loss__MAX","CRISPR + CNN - training loss","CRISPR + CNN - training loss__MIN","CRISPR + CNN - training loss__MAX"
"142","0.027704501524567604","0.02177853137254715","0.03363047167658806","0.004979153047315776","0.0018547268118709326","0.00810357928276062","0.010231047868728638","0.009421955794095993","0.011040139943361282","0.00011800157517427579","0.00008022919064387679","0.00015577395970467478"
"144","0.021585256792604923","0.021017814055085182","0.022152699530124664","0.005644896766170859","0.003496267832815647","0.0077935256995260715","0.009084686869755387","0.005562014412134886","0.012607359327375889","0.0002149326101061888","0.00014376537001226097","0.00028609985020011663"
"146","0.024103286676108837","0.018313001841306686","0.029893571510910988","0.006606490118429065","0.0033342628739774227","0.009878717362880707","0.004704486229456961","0.003557512303814292","0.00585146015509963","0.00017331468188785948","0.000038833859434816986","0.00030779550434090197"
"148","0.01152369985356927","0.01100526936352253","0.012042130343616009","0.0022908711689524353","0.0018390078330412507","0.00274273450486362","0.0036602658219635487","0.002537757158279419","0.004782774485647678","0.0000806596435722895","0.0000731846594135277","0.0000881346277310513"
"150","0.021470820531249046","0.018159983679652214","0.02478165738284588","0.005073292413726449","0.00500660901889205","0.005139975808560848","0.010502858553081751","0.006276980042457581","0.014728737063705921","0.00033040835842257366","0.0001923771487781778","0.0004684395680669695"
"152","0.024474166333675385","0.02041965164244175","0.02852868102490902","0.003554721246473491","0.001995939062908292","0.005113503430038691","0.014580212533473969","0.008018340915441513","0.021142084151506424","0.0001677566033322364","0.00011903213453479111","0.0002164810721296817"
"154","0.0393449105322361","0.031282443553209305","0.047407377511262894","0.0029855818720534444","0.0026317755691707134","0.0033393881749361753","0.005337224167305976","0.0012290306622162461","0.009445417672395706","0.00012275952758500353","0.0000755344663048163","0.00016998458886519074"
"156","0.013929272070527077","0.010039038956165314","0.01781950518488884","0.004825969459488988","0.0036174990236759186","0.006034439895302057","0.010012675542384386","0.008411237969994545","0.011614113114774227","0.00026324224745621905","0.0001641795242903754","0.0003623049706220627"
"158","0.010374638484790921","0.007061584386974573","0.01368769258260727","0.0019158707582391798","0.001779622514732182","0.0020521190017461777","0.004844903713092208","0.0044400314800441265","0.005249775946140289","0.0000524569368280936","0.00004371089016785845","0.00006120298348832875"
"160","0.031114770099520683","0.028676576912403107","0.03355296328663826","0.004776229849085212","0.0038336184807121754","0.005718841217458248","0.00835829263087362","0.0038284824695438147","0.012888102792203426","0.00012608906399691477","0.0000734751665731892","0.00017870296142064035"
"162","0.014467822154983878","0.007390392478555441","0.021545251831412315","0.008471563225612044","0.00500026298686862","0.011942863464355469","0.012308277538977563","0.0029550481121987104","0.021661506965756416","0.00019749425700865686","0.00009510890231467783","0.0002998796117026359"
"164","0.027333342470228672","0.012157125398516655","0.04250955954194069","0.0034092965070158243","0.0028060576878488064","0.004012535326182842","0.005408982979133725","0.004046127200126648","0.006771838758140802","0.0001149377596902923","0.000004458509010873968","0.00022541701036971062"
"166","0.022578221512958407","0.007760589476674795","0.03739585354924202","0.003620290837716311","0.0014527522725984454","0.005787829402834177","0.0051773779559880495","0.0032195583917200565","0.0071351975202560425","0.0002126159997715149","0.00009280534140998498","0.00033242665813304484"
"168","0.012834953144192696","0.010880514979362488","0.014789391309022903","0.003300867509096861","0.0027327719144523144","0.0038689631037414074","0.0068604308180511","0.0014284439384937286","0.012292417697608471","0.00028025309802615084","0.00006175379530759528","0.0004987524007447064"
"170","0.013229258824139833","0.009286788292229176","0.01717172935605049","0.0033070615027099848","0.003037446178495884","0.0035766768269240856","0.008402188890613616","0.0026845589745789766","0.014119818806648254","0.00010460343764862046","0.00009122573828790337","0.00011798113700933754"
"172","0.01690844353288412","0.014902353286743164","0.018914533779025078","0.007067515980452299","0.0043451134115457535","0.009789918549358845","0.0032907690620049834","0.0026339751202613115","0.003947563003748655","0.0002581150365585927","0.00010927479161182418","0.0004069552815053612"
"174","0.040938183665275574","0.018641136586666107","0.06323523074388504","0.005205497378483415","0.004604664631187916","0.0058063301257789135","0.006025065202265978","0.005344890058040619","0.006705240346491337","0.00009546938599669375","0.00008609012729721144","0.00010484864469617605"
"176","0.021198955364525318","0.01591854728758335","0.026479363441467285","0.002985987113788724","0.002632173942402005","0.0033398002851754427","0.006895346101373434","0.0045804213732481","0.009210270829498768","0.000029394261218840256","0.00002712340938160196","0.00003166511305607855"
"178","0.030317680910229683","0.030265364795923233","0.030369997024536133","0.005179574014618993","0.004400544799864292","0.0059586032293736935","0.0033035542583093047","0.0031136185862123966","0.003493489930406213","0.0001052941006491892","0.00006245254189707339","0.00014813565940130502"
"180","0.01724338927306235","0.00497426325455308","0.029512515291571617","0.004873433383181691","0.004209259990602732","0.005537606775760651","0.007260151905938983","0.0038092206232249737","0.010711083188652992","0.00016767507258919068","0.00008969245391199365","0.0002456576912663877"
"182","0.017854319885373116","0.01593024469912052","0.01977839507162571","0.002497080888133496","0.001665255636908114","0.003328906139358878","0.008862948045134544","0.008262540213763714","0.009463355876505375","0.0002563070538599277","0.000044463802623795345","0.00046815030509606004"
"184","0.014929077588021755","0.013665791600942612","0.0161923635751009","0.002020330633968115","0.0018880774732679129","0.002152583794668317","0.004918712773360312","0.0031912631820887327","0.006646162364631891","0.00009833990952756722","0.0000521136425959412","0.00014456617645919323"
"186","0.019007276743650436","0.01848462224006653","0.019529931247234344","0.0029899333021603525","0.001484485692344606","0.004495380911976099","0.00682736246380955","0.0023846777621656656","0.011270047165453434","0.00008773458466748707","0.000054958509281277657","0.00012051066005369648"
"188","0.042439572513103485","0.035944852977991104","0.048934292048215866","0.003217208315618336","0.0028851458337157965","0.003549270797520876","0.010386643465608358","0.0038048485293984413","0.016968438401818275","0.00010894701517827343","0.00004408140011946671","0.00017381263023708016"
"190","0.023358370177447796","0.02286091074347496","0.02385582961142063","0.0025685231667011976","0.0020580000709742308","0.0030790462624281645","0.006999996257945895","0.006605437956750393","0.0073945545591413975","0.00015909688954707235","0.00011462999100331217","0.00020356378809083253"
"192","0.017148438841104507","0.01667574793100357","0.017621129751205444","0.002896276128012687","0.0015869882190600038","0.00420556403696537","0.004192887106910348","0.004119450692087412","0.004266323521733284","0.00013278651385917328","0.00010911496792687103","0.00015645805979147553"
"194","0.03208933025598526","0.021937821060419083","0.04224083945155144","0.0012564401840791106","0.0011155868414789438","0.0013972935266792774","0.0048228028463199735","0.0019071509595960379","0.007738454733043909","0.00018481410370441154","0.0001510610309196636","0.00021856717648915946"
"196","0.023175160866230726","0.008625674061477184","0.03772464767098427","0.004948811954818666","0.0028729152400046587","0.007024708669632673","0.00548596540465951","0.00543070025742054","0.0055412305518984795","0.00013001366824028082","0.0000266663046204485","0.00023336103186011314"
"198","0.03559078276157379","0.03517632558941841","0.03600523993372917","0.003466236055828631","0.0030637288000434637","0.003868743311613798","0.008564070565626025","0.0032403781078755856","0.013887763023376465","0.00013921981735620648","0.0000720407406333834","0.00020639889407902956"
