"Step","PPI_Affinity + DGL_GAT - R2","PPI_Affinity + DGL_GAT - R2__MIN","PPI_Affinity + DGL_GAT - R2__MAX","PPI_Affinity + CNN_RNN - R2","PPI_Affinity + CNN_RNN - R2__MIN","PPI_Affinity + CNN_RNN - R2__MAX","PPI_Affinity + Transformer - R2","PPI_Affinity + Transformer - R2__MIN","PPI_Affinity + Transformer - R2__MAX","PPI_Affinity + CNN - R2","PPI_Affinity + CNN - R2__MIN","PPI_Affinity + CNN - R2__MAX"
"179","0.46054078529976916","0.44188260216624886","0.47919896843328946","0.6699403631578191","0.6641206745268257","0.6757600517888125","0.6088246892793291","0.6077637802390592","0.609885598319599","0.6086669740781241","0.6029725346131258","0.6143614135431223"
"181","0.4654845869142843","0.43236440931533426","0.4986047645132343","0.6641408333592698","0.650001549000144","0.6782801177183955","0.6042818669988468","0.6029720900046137","0.6055916439930797","0.608539681235833","0.603601900248955","0.6134774622227109"
"183","0.47713870194100033","0.4354073990664965","0.5188700048155042","0.6854339965621694","0.6848079518685549","0.686060041255784","0.6068098681492273","0.6066634843441536","0.606956251954301","0.6080086458190208","0.5934591350289784","0.6225581566090632"
"185","0.48199644731330793","0.4637288480829167","0.5002640465436992","0.6597969449559979","0.6524992722283471","0.6670946176836489","0.6097954732436128","0.6076595565503811","0.6119313899368446","0.6126579860295669","0.6018851705526912","0.6234308015064426"
"187","0.48758929860228406","0.4796555027076476","0.49552309449692056","0.6727310592525918","0.6632877666797978","0.6821743518253858","0.6105134463512472","0.6103805417650119","0.6106463509374824","0.6159153362000359","0.6010079374241224","0.6308227349759494"
"189","0.4750135381661963","0.4578740864256422","0.49215298990675044","0.6691429162928468","0.6610324203638265","0.6772534122218672","0.6047707244998997","0.5952719862272013","0.6142694627725981","0.6128960894772251","0.6017544968251498","0.6240376821293004"
"191","0.4993932891750783","0.4957542382121311","0.5030323401380254","0.6752027452610361","0.6725368835588036","0.6778686069632684","0.6092947714783674","0.6066045429981926","0.6119849999585424","0.6186871903601721","0.6089534464086551","0.6284209343116889"
"193","0.4915624265446214","0.48602575022429323","0.49709910286494957","0.6687512824465696","0.6669816133314853","0.6705209515616539","0.6063127841857943","0.6047878836726812","0.6078376846989073","0.6189408128307847","0.6056839854149398","0.6321976402466296"
"195","0.49633065582360625","0.48801637350568083","0.5046449381415317","0.6850787662835076","0.6752562531238808","0.6949012794431345","0.6085180001013379","0.603955956505386","0.6130800436972899","0.6229288899825076","0.6167357044324187","0.6291220755325966"
"197","0.5041468481776847","0.48677807854380295","0.5215156178115665","0.6590997715343185","0.6311424766302821","0.6870570664383548","0.6156851393728845","0.6108208681870178","0.6205494105587512","0.6259558355010801","0.6182180198230117","0.6336936511791484"
"199","0.4877057284512369","0.4757564424546288","0.499655014447845","0.6900965750804431","0.6852924440808466","0.6949007060800396","0.6159318733343032","0.6123175460397912","0.6195462006288153","0.6218470740720229","0.6062895951389575","0.6374045530050882"
